AVAILABLE QUANTITY OF ITEM: 1972
QTD OF MANUFACTURED PIECES: 1972
ELAPSED TIME:   601.58
OBJ. FUNCTION VALUE: 54.0
STARTS: 54
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1806A0200;2
1;K2;2;1806A0200;2
1;K2;3;1806A0200;2
2;K1;1;6753_02011;12
2;K1;2;6753_02011;12
2;K1;3;6753_02011;12
2;K1;4;3470_085;6
2;K1;5;6753_02011;12
2;K1;6;3470_085;6
2;K1;7;6753_02011;12
2;K2;1;3445A1800;6
2;K2;2;342_0460;12
2;K2;3;342_0460;12
2;K2;4;342_0460;12
3;K1;1;6724_0941;12
3;K1;2;341_0250;6
3;K1;3;6754_0481;12
3;K1;4;341_0250;1
3;K1;5;6724_0271;12
3;K1;6;6724_0271;12
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;1964A2200;2
4;K1;2;1567A0100;6
4;K1;3;786A0900;6
4;K1;4;1567A0100;6
4;K1;5;786A0900;6
4;K1;6;S4_9704411;6
4;K1;7;1567A0100;6
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;S4_9704411;6
5;K1;2;1567A0100;6
5;K1;3;787A0100;3
5;K1;4;1567A0100;6
5;K1;5;787A0100;1
5;K1;6;1554A0200;1
5;K1;7;1567A0100;2
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;1567A0100;6
6;K1;2;1567A0100;6
6;K1;3;5450A0000;12
6;K1;4;829D0100;12
6;K1;5;787A0100;3
6;K1;6;830D0100;12
6;K2;1;829D0100;12
6;K2;2;1386A2200;12
7;K1;1;1567A0100;6
7;K1;2;787A0100;3
7;K1;3;787A0100;3
7;K1;4;787A0100;3
7;K1;5;S4_9704411;6
7;K1;6;S4_9704411;4
7;K1;7;1554A0200;5
7;K2;1;342_0460;12
7;K2;2;342_0460;12
7;K2;3;342_0460;12
7;K2;4;3445A1800;6
8;K1;1;3958A0600;24
8;K1;2;1320_0101;22
8;K1;3;6754_0481;2
8;K1;4;341_0250;12
8;K1;5;6754_0481;12
8;K1;6;6754_0481;12
8;K2;1;918_0102;5
8;K2;2;1806A0200;2
9;K1;1;5450A0000;3
9;K1;2;6896A0100;12
9;K1;3;1567A0100;6
9;K1;4;810A0400;8
9;K1;5;1567A0100;6
9;K1;6;829D0100;12
9;K2;1;342_0460;7
9;K2;2;6724_0941;6
10;K1;1;1567A0100;6
10;K1;2;1567A0100;6
10;K1;3;787A0100;3
10;K1;4;1567A0100;6
10;K1;5;787A0100;3
10;K1;6;1554A0200;1
10;K1;7;1567A0100;6
10;K2;1;1642A0400;6
10;K2;2;1642A0400;6
10;K2;3;1642A0400;6
11;K1;1;1567A0100;6
11;K1;2;1964A2200;8
11;K1;3;1553A0200;3
11;K1;4;786A0900;6
11;K2;1;830D0100;12
11;K2;2;810A0400;12
12;K1;1;3958A0600;24
12;K1;2;341_0250;12
12;K1;3;1320_0101;24
12;K1;4;1312_0101;24
12;K1;5;3470_085;6
12;K2;1;3445A1800;6
12;K2;2;60091_011;12
12;K2;3;6724_0941;12
13;K1;1;1553A0200;12
13;K1;2;830D0100;12
13;K1;3;1567A0100;6
13;K1;4;829D0100;12
13;K1;5;5450A0000;12
13;K1;6;1567A0100;6
13;K2;1;918_0102;15
13;K2;2;918_0102;15
14;K1;1;3957A0600;12
14;K1;2;342_0460;1
14;K1;3;341_0250;1
14;K1;4;1320_0101;24
14;K2;1;786A0900;6
14;K2;2;786A0900;6
14;K2;3;786A0900;6
14;K2;4;786A0900;6
15;K1;1;60091_011;12
15;K1;2;1320_0101;24
15;K1;3;6724_0271;12
15;K1;4;60091_011;12
15;K1;5;60091_011;12
15;K1;6;1312_0101;24
15;K2;1;342_0460;12
15;K2;2;342_0460;12
15;K2;3;342_0460;12
16;K1;1;786A0900;6
16;K1;2;1386A2200;12
16;K1;3;1567A0100;6
16;K1;4;1567A0100;6
16;K1;5;1567A0100;6
