AVAILABLE QUANTITY OF ITEM: 819
QTD OF MANUFACTURED PIECES: 819
ELAPSED TIME:   609.26
OBJ. FUNCTION VALUE: 22.0
STARTS: 22
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;1964A2200;8
1;K1;2;1964A2200;1
1;K1;3;831A0600;10
1;K1;4;831A0600;10
1;K1;5;1555A0200;2
2;K1;1;S4_9704300;6
2;K1;2;S4_9704300;6
2;K1;3;1642A0400;6
2;K1;4;S4_9704300;6
2;K1;5;S4_9704300;6
2;K1;6;S4_9704300;6
2;K2;1;1642A0400;6
2;K2;2;1642A0400;6
2;K2;3;1642A0400;6
3;K1;1;3957A0600;9
3;K1;2;6774_01030;12
3;K1;3;6724_0941;12
3;K1;4;6774_01030;2
3;K1;5;1394_0101;12
3;K1;6;341_0250;12
3;K2;1;831A0600;10
3;K2;2;830D0100;12
3;K2;3;831A0600;10
4;K1;1;1556A0200;12
4;K1;2;1553A0200;6
4;K1;3;6898A0100;12
4;K1;4;1553A0200;12
4;K1;5;1556A0200;12
4;K2;1;1312_0101;8
4;K2;2;798_0184;5
5;K1;1;1312_0101;24
5;K1;2;798_0184;5
5;K1;3;1312_0101;24
5;K1;4;3957A0600;24
5;K1;5;3957A0600;24
5;K2;1;830D0100;12
5;K2;2;831A0600;10
5;K2;3;831A0600;10
6;K1;1;1386A2200;12
6;K1;2;1555A0200;12
6;K1;3;6898A0100;1
6;K1;4;1556A0200;12
6;K1;5;1555A0200;12
6;K2;1;6898A0100;5
6;K2;2;6898A0100;12
7;K1;1;341_0250;12
7;K1;2;1312_0101;24
7;K1;3;1394_0101;24
7;K1;4;1394_0101;24
7;K1;5;6774_01030;12
7;K2;1;341_0250;12
7;K2;2;798_0184;5
7;K2;3;798_0184;5
8;K1;1;786A0600;3
8;K1;2;786A0600;3
8;K1;3;786A0600;3
8;K1;4;786A0600;3
8;K1;5;786A0600;3
8;K1;6;786A0600;3
8;K2;1;786A0600;3
8;K2;2;786A0600;3
9;K1;1;1553A0200;12
9;K1;2;1386A2200;4
9;K1;3;1386A2200;12
9;K1;4;830D0100;12
9;K1;5;1556A0200;4
9;K2;1;1642A0400;6
9;K2;2;1642A0400;6
9;K2;3;1642A0400;6
10;K1;1;1312_0101;24
10;K1;2;6774_01030;12
10;K1;3;6774_01030;12
10;K1;4;1568_0101;20
10;K1;5;341_0250;9
10;K1;6;6724_0941;6
10;K2;1;1642A0400;6
10;K2;2;1642A0400;6
10;K2;3;S4_9704300;6
11;K1;1;S4_9704300;6
11;K1;2;S4_9704300;6
11;K1;3;S4_9704300;6
11;K1;4;1642A0400;6
11;K1;5;S4_9704300;6
11;K1;6;S4_9704300;6
11;K2;1;831A0600;10
11;K2;2;831A0600;10
11;K2;3;1555A0200;12
12;K2;1;786A0600;3
12;K2;2;786A0600;1
END
