AVAILABLE QUANTITY OF ITEM: 2120
QTD OF MANUFACTURED PIECES: 2120
ELAPSED TIME:   601.93
OBJ. FUNCTION VALUE: 61.0
STARTS: 61
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;6754_0481;12
1;K2;2;1806_5051;10
1;K2;3;1806_5051;10
2;K1;1;6898A0100;12
2;K1;2;4775_0002;8
2;K1;3;6898A0100;12
2;K1;4;4775_0002;12
2;K1;5;829D0100;12
2;K2;1;787A0100;3
2;K2;2;787A0100;3
2;K2;3;787A0100;3
3;K1;1;829D0100;12
3;K1;2;4774_0002;12
3;K1;3;920A0100;8
3;K1;4;1555A0200;12
3;K1;5;1556A0200;4
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;1567A0100;6
4;K1;2;787A0100;3
4;K1;3;787A0100;1
4;K1;4;1567A0100;6
4;K1;5;787A0100;3
4;K1;6;1559A0200;6
4;K2;1;787A0100;3
4;K2;2;787A0100;3
4;K2;3;787A0100;3
5;K1;1;787A0100;3
5;K1;2;829D0100;12
5;K1;3;1964A2200;8
5;K1;4;4774_0002;12
5;K1;5;4775_0002;12
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;S4_9504612;21
6;K1;2;S4_9504612;21
6;K1;3;786A0700;8
6;K1;4;S4_9504612;21
6;K1;5;786A0700;8
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;786A0600;3
7;K1;2;786A0600;3
7;K1;3;786A0600;3
7;K1;4;786A0600;3
7;K1;5;786A0600;3
7;K1;6;786A0600;3
7;K1;7;786A0600;3
7;K2;1;1806_5051;10
7;K2;2;6753_02011;12
7;K2;3;1806_5051;10
8;K1;1;6753_02011;12
8;K1;2;1320_0101;20
8;K1;3;1806_5051;10
8;K1;4;1320_0101;24
8;K1;5;341_0250;6
8;K1;6;6753_02011;12
8;K2;1;1806_5051;10
8;K2;2;1806_5051;10
8;K2;3;1806_5051;10
9;K1;1;S4_9504622;18
9;K1;2;786A0600;3
9;K1;3;786A0700;8
9;K1;4;786A0600;3
9;K1;5;786A0600;2
9;K1;6;786A0600;3
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
