AVAILABLE QUANTITY OF ITEM: 3095
QTD OF MANUFACTURED PIECES: 3095
ELAPSED TIME:   601.69
OBJ. FUNCTION VALUE: 104.0
STARTS: 104
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;6896A0100;12
1;K1;2;810A0400;8
1;K1;3;1559A0200;6
1;K1;4;4781A0100;8
1;K1;5;4778_0102;8
1;K2;1;798_0184;5
1;K2;2;798_0184;5
1;K2;3;798_0184;5
2;K1;1;4778_0102;8
2;K1;2;1567A0100;6
2;K1;3;1555A0200;12
2;K1;4;1567A0100;6
2;K1;5;4775_0002;12
2;K1;6;1567A0100;6
2;K2;1;831A0600;10
2;K2;2;831A0600;10
2;K2;3;786A0900;6
2;K2;4;786A0900;6
3;K1;1;1312_0101;11
3;K1;2;60091_011;12
3;K1;3;3470_085;6
3;K1;4;1806_041;2
3;K1;5;1806_041;2
3;K1;6;60091_011;12
3;K2;1;786A0900;6
3;K2;2;786A0900;4
3;K2;3;786A0900;6
4;K1;1;6754_0481;12
4;K1;2;3470_028;6
4;K1;3;1320_0101;24
4;K1;4;1806_041;2
4;K1;5;3470_028;6
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;786A0600;3
5;K1;2;786A0600;3
5;K1;3;786A0600;3
5;K1;4;786A0600;3
5;K1;5;786A0600;3
5;K1;6;786A0600;3
5;K1;7;786A0600;3
5;K2;1;831A0600;10
5;K2;2;786A0900;1
5;K2;3;831A0600;10
5;K2;4;786A0900;6
6;K1;1;786A0600;3
6;K1;2;786A0600;3
6;K1;3;786A0600;2
6;K1;4;786A0700;8
6;K2;1;786A0900;6
6;K2;2;786A0900;6
6;K2;3;786A0900;6
6;K2;4;831A0600;9
7;K1;1;1554A0200;8
7;K1;2;2434A2200;4
7;K1;3;1567A0100;6
7;K1;4;4778_0102;8
7;K1;5;1567A0100;6
7;K1;6;787A0100;3
7;K2;1;60078_0900;12
7;K2;2;60078_0900;12
8;K1;1;S4_9704300;6
8;K1;2;S4_9704300;6
8;K1;3;S4_9704300;6
8;K1;4;S4_9704300;6
8;K1;5;S4_9704300;6
8;K2;1;342_0460;12
8;K2;2;60078_0900;4
8;K2;3;6754_0481;12
9;K1;1;6754_0481;12
9;K1;2;6754_0481;12
9;K1;3;6754_0481;12
9;K1;4;1806D0900;60
9;K1;5;3470_085;2
9;K1;6;3470_085;6
9;K1;7;60091_011;12
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;787A0100;3
10;K1;2;1554A0200;8
10;K1;3;1559A0200;12
10;K1;4;4781A0100;8
10;K1;5;1559A0200;12
10;K2;1;831A0600;10
10;K2;2;786A0900;6
10;K2;3;786A0900;6
10;K2;4;831A0600;10
11;K1;1;786A0700;8
11;K1;2;786A0700;8
11;K1;3;786A0600;3
11;K1;4;786A0700;8
11;K1;5;786A0600;3
11;K2;1;1806A0200;2
11;K2;2;1806A0200;2
11;K2;3;1806A0200;2
12;K1;1;786A0600;3
12;K1;2;786A0600;3
12;K1;3;786A0600;3
12;K1;4;786A0600;3
12;K1;5;786A0600;3
12;K1;6;786A0600;3
12;K1;7;786A0600;3
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;830D0100;12
13;K1;2;6896A0100;12
13;K1;3;6896A0100;12
13;K2;1;60078_0900;12
13;K2;2;3470_028;6
13;K2;3;3470_028;6
14;K1;1;787A0100;3
14;K1;2;787A0100;1
14;K1;3;787A0100;1
14;K1;4;830D0100;12
14;K1;5;4778_0102;8
14;K1;6;1567A0100;6
14;K2;1;60078_0900;12
14;K2;2;3470_028;6
14;K2;3;798_0184;5
15;K1;1;1806_041;2
15;K1;2;1806_041;2
15;K1;3;1806_041;2
15;K1;4;1568_0101;24
15;K1;5;1806_041;2
15;K2;1;342_0460;5
15;K2;2;60078_0900;12
15;K2;3;798_0184;5
16;K1;1;787A0100;3
16;K1;2;787A0100;3
16;K1;3;787A0100;3
16;K1;4;787A0100;3
16;K1;5;830D0100;12
16;K1;6;4775_0002;12
16;K2;1;798_0184;5
16;K2;2;798_0184;5
16;K2;3;60091_011;12
17;K1;1;4781A0100;8
17;K1;2;4781A0100;8
17;K1;3;830D0100;12
17;K1;4;1553A0200;6
17;K1;5;4781A0100;8
17;K2;1;1567A0100;6
17;K2;2;786A0900;6
17;K2;3;786A0900;6
18;K1;1;3470_085;6
18;K1;2;1568_0101;24
18;K1;3;1320_0101;21
18;K1;4;1312_0101;24
18;K1;5;1320_0101;24
18;K2;1;6774_01030;12
18;K2;2;3470_028;6
18;K2;3;3470_028;6
19;K1;1;787A0100;3
19;K1;2;4781A0100;8
19;K1;3;1567A0100;6
19;K1;4;1567A0100;6
19;K1;5;1567A0100;6
19;K1;6;1567A0100;6
19;K1;7;787A0100;3
19;K2;1;1806A0200;2
19;K2;2;1806A0200;2
19;K2;3;1806A0200;2
20;K1;1;6754_0481;12
20;K1;2;3470_028;6
20;K1;3;6754_0481;12
20;K1;4;6774_01030;12
20;K1;5;3958A0600;24
20;K1;6;6774_01030;12
20;K2;1;1806A0200;2
20;K2;2;1806A0200;2
20;K2;3;1806A0200;2
21;K1;1;3957A0600;10
21;K1;2;1806_041;2
21;K1;3;6774_01030;12
21;K1;4;1312_0101;24
21;K1;5;1806_041;2
21;K2;1;60091_011;12
21;K2;2;3470_085;6
21;K2;3;60078_0900;12
22;K1;1;1806_041;2
22;K1;2;3958A0600;24
22;K1;3;1806_041;2
22;K1;4;1320_0101;24
22;K1;5;3470_085;6
22;K1;6;1806D0900;39
22;K2;1;1806A0200;2
22;K2;2;1806A0200;2
22;K2;3;1806A0200;2
23;K1;1;1567A0100;6
23;K1;2;1555A0200;12
23;K1;3;1556A0200;12
23;K1;4;2434A2200;6
23;K1;5;787A0100;3
23;K2;1;1806A0200;2
23;K2;2;1806A0200;2
23;K2;3;1806A0200;2
24;K1;1;1806D0900;1
24;K1;2;3470_028;1
24;K1;3;3470_085;6
24;K1;4;3470_028;1
24;K1;5;3470_028;6
24;K1;6;3470_028;1
24;K1;7;1806_041;2
24;K2;1;60091_011;12
24;K2;2;60078_0900;12
25;K1;1;1320_0101;24
25;K1;2;1806_041;2
25;K1;3;3958A0600;24
25;K1;4;1806_041;2
25;K1;5;1312_0101;24
25;K2;1;787A0100;3
25;K2;2;831A0600;1
25;K2;3;786A0900;6
26;K1;1;1806_041;2
26;K1;2;3470_028;6
26;K1;3;1806_041;2
26;K1;4;3470_085;6
26;K1;5;1806_041;2
26;K1;6;3470_085;6
26;K2;1;1806A0200;2
26;K2;2;1806A0200;2
26;K2;3;1806A0200;2
27;K1;1;3470_028;6
27;K1;2;6774_01030;12
27;K1;3;1806_041;2
27;K1;4;6754_0481;4
27;K1;5;60091_011;12
27;K1;6;3958A0600;23
27;K2;1;S4_9704300;6
28;K1;1;1806_041;2
28;K1;2;3470_028;6
28;K1;3;60091_011;12
28;K1;4;1568_0101;4
28;K1;5;1806_041;2
28;K1;6;1806_041;2
28;K2;1;1806A0200;2
28;K2;2;1806A0200;2
28;K2;3;1806A0200;2
29;K1;1;1806_041;2
29;K1;2;3470_028;3
29;K1;3;60091_011;12
29;K1;4;1806_041;2
29;K2;1;1806A0200;2
29;K2;2;1806A0200;2
29;K2;3;1806A0200;2
30;K1;1;1806_041;2
30;K1;2;1394_0101;24
30;K1;3;1394_0101;12
30;K1;4;1320_0101;24
30;K1;5;60091_011;12
30;K2;1;786A0900;6
30;K2;2;831A0600;10
30;K2;3;786A0900;6
30;K2;4;831A0600;10
31;K1;1;787A0100;3
31;K1;2;4774_0002;12
31;K1;3;1567A0100;6
31;K1;4;1567A0100;6
31;K1;5;1567A0100;6
31;K1;6;1553A0200;12
31;K2;1;1806A0200;2
31;K2;2;1806A0200;2
31;K2;3;1806A0200;2
32;K1;1;829D0100;12
32;K1;2;4778_0102;8
32;K1;3;4775_0002;12
32;K1;4;2434A2200;6
32;K1;5;1553A0200;12
32;K2;1;S4_9704300;6
33;K1;1;1320_0101;24
33;K2;1;1806A0200;2
33;K2;2;1806A0200;2
33;K2;3;1806A0200;2
34;K1;1;1312_0101;1
34;K1;2;1320_0101;24
34;K2;1;787A0100;3
35;K1;1;4775_0002;12
35;K1;2;4781A0100;8
35;K1;3;2434A2200;6
35;K1;4;810A0400;12
35;K1;5;810A0400;12
35;K2;1;1559A0200;12
35;K2;2;787A0100;3
36;K1;1;1394_0101;24
36;K1;2;3958A0600;24
36;K1;3;1568_0101;24
36;K1;4;1568_0101;24
36;K1;5;3958A0600;1
36;K2;1;342_0460;12
36;K2;2;798_0184;5
37;K1;1;4775_0002;12
37;K1;2;1556A0200;12
37;K1;3;1559A0200;12
37;K1;4;920A0100;8
37;K1;5;1554A0200;8
37;K2;1;1806A0200;2
37;K2;2;1806A0200;2
37;K2;3;1806A0200;2
38;K1;1;830D0100;12
38;K1;2;1555A0200;12
38;K1;3;1555A0200;10
38;K1;4;1555A0200;12
38;K1;5;1567A0100;6
38;K2;1;1806A0200;2
38;K2;2;1806A0200;2
38;K2;3;1806A0200;2
39;K1;1;810A0400;12
39;K1;2;1553A0200;12
39;K1;3;830D0100;12
39;K1;4;4781A0100;8
39;K1;5;830D0100;12
39;K2;1;1806A0200;2
39;K2;2;1806A0200;2
39;K2;3;1806A0200;2
40;K1;1;810A0400;12
40;K1;2;1554A0200;4
40;K1;3;4778_0102;8
40;K1;4;1554A0200;8
40;K2;1;787A0100;3
41;K1;1;830D0100;12
41;K1;2;920A0100;4
41;K1;3;1556A0200;4
41;K1;4;829D0100;12
41;K1;5;1553A0200;12
41;K2;1;3470_028;6
41;K2;2;342_0460;1
41;K2;3;60078_0900;12
42;K1;1;786A0700;8
42;K1;2;786A0700;8
42;K2;1;786A0700;8
42;K2;2;1806A0200;2
43;K1;1;830D0100;12
43;K1;2;1556A0200;12
43;K1;3;787A0100;1
43;K1;4;1555A0200;12
43;K1;5;4774_0002;12
43;K2;1;1806A0200;2
43;K2;2;1806A0200;2
43;K2;3;1806A0200;2
44;K1;1;1806_041;2
44;K1;2;6754_0481;12
44;K1;3;1320_0101;24
44;K2;1;1806A0200;2
44;K2;2;1806A0200;2
45;K1;1;1567A0100;6
45;K1;2;1554A0200;8
45;K1;3;1553A0200;12
45;K1;4;1554A0200;8
45;K1;5;810A0400;12
45;K2;1;1806A0200;2
45;K2;2;1806A0200;2
45;K2;3;1806A0200;2
46;K1;1;4774_0002;12
46;K1;2;1567A0100;6
46;K1;3;920A0100;8
46;K1;4;2434A2200;6
46;K1;5;1553A0200;12
46;K2;1;786A0900;6
46;K2;2;786A0900;6
46;K2;3;786A0900;1
46;K2;4;786A0900;6
47;K1;1;1553A0200;12
47;K1;2;6896A0100;2
47;K1;3;830D0100;12
47;K1;4;4778_0102;8
47;K1;5;1559A0200;12
47;K2;1;1567A0100;6
47;K2;2;787A0100;3
48;K1;1;6896A0100;12
48;K1;2;1964A2200;8
48;K1;3;1567A0100;6
48;K1;4;2434A2200;6
48;K1;5;810A0400;12
48;K2;1;1806A0200;2
48;K2;2;786A0700;4
49;K1;1;4781A0100;8
49;K1;2;830D0100;12
49;K1;3;4778_0102;8
49;K1;4;829D0100;12
49;K1;5;4781A0100;8
49;K2;1;786A0900;6
50;K1;1;1559A0200;12
50;K1;2;787A0100;3
50;K1;3;4778_0102;8
50;K1;4;787A0100;3
50;K1;5;1554A0200;8
50;K2;1;1806A0200;2
50;K2;2;1806A0200;2
51;K1;1;830D0100;12
51;K1;2;2434A2200;6
51;K1;3;4775_0002;12
51;K1;4;1964A2200;2
51;K1;5;787A0100;3
51;K2;1;S4_9704300;6
52;K1;1;1312_0101;24
52;K1;2;1312_0101;24
52;K1;3;3957A0600;24
52;K1;4;3470_028;6
52;K1;5;1312_0101;24
52;K2;1;1559A0200;12
52;K2;2;4778_0102;8
END
