AVAILABLE QUANTITY OF ITEM: 2330
QTD OF MANUFACTURED PIECES: 2330
ELAPSED TIME:  3607.00
OBJ. FUNCTION VALUE: 61.0
STARTS: 61
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;3470_085;6
1;K1;2;60091_011;12
1;K1;3;3470_085;6
1;K1;4;342_0460;12
1;K1;5;342_0460;12
1;K1;6;3445A1800;6
1;K1;7;6724_0271;12
2;K1;1;786A0700;8
2;K1;2;786A0600;3
2;K1;3;926_0102;8
2;K1;4;926_0102;12
2;K1;5;786A0700;8
2;K2;1;830D0100;12
2;K2;2;787A0100;2
3;K1;1;6898A0100;12
3;K1;2;810A0400;12
3;K1;3;1554A0200;8
3;K1;4;787A0100;3
3;K1;5;829D0100;12
3;K2;1;342_0460;12
3;K2;2;1320_0101;24
3;K2;3;3445A1800;6
4;K1;1;830D0100;12
4;K1;2;1567A0100;6
4;K1;3;6896A0100;6
4;K1;4;1567A0100;6
4;K1;5;920A0100;8
4;K1;6;1567A0100;6
4;K2;1;342_0460;12
4;K2;2;3445A1800;6
4;K2;3;60091_011;12
5;K1;1;962A0100;6
5;K1;2;6724_0271;12
5;K1;3;6753_02011;12
5;K1;4;3470_085;6
5;K1;5;1806_041;2
5;K1;6;1320_0101;24
5;K2;1;342_0460;12
5;K2;2;342_0460;12
5;K2;3;3445A1800;6
5;K2;4;3445A1800;6
6;K1;1;1386A2200;4
6;K1;2;1386A2200;12
6;K1;3;810A0400;12
6;K1;4;6896A0100;12
6;K1;5;4778_0102;8
6;K2;1;S4_9704300;6
7;K1;1;3470_085;6
7;K1;2;3957A0600;12
7;K1;3;6753_02011;12
7;K1;4;1806_041;2
7;K1;5;6753_02011;12
7;K1;6;1806_041;2
7;K2;1;6753_02011;12
7;K2;2;6754_0481;12
7;K2;3;60091_011;12
8;K1;1;6753_02011;12
8;K1;2;6753_02011;6
8;K1;3;1806_041;2
8;K1;4;1320_0101;22
8;K1;5;3958A0600;12
8;K1;6;60091_011;12
8;K2;1;1312_0101;24
8;K2;2;3445A1800;6
8;K2;3;342_0460;12
9;K1;1;3445A1800;6
9;K1;2;3957A0600;24
9;K1;3;3957A0600;24
9;K1;4;1312_0101;24
9;K1;5;6754_0481;2
9;K1;6;342_0460;12
9;K2;1;920A0100;4
9;K2;2;4778_0102;8
10;K1;1;1567A0100;6
10;K1;2;1555A0200;12
10;K1;3;830D0100;12
10;K1;4;4775_0002;12
10;K1;5;2434A2200;6
10;K2;1;786A0900;6
10;K2;2;786A0900;6
10;K2;3;831A0600;10
10;K2;4;786A0900;6
11;K1;1;1567A0100;6
11;K1;2;5450A0000;12
11;K1;3;786A0900;6
11;K1;4;1567A0100;6
11;K1;5;786A0900;6
11;K1;6;4778_0102;8
11;K1;7;5450A0000;12
11;K2;1;1642A0400;6
11;K2;2;1642A0400;6
11;K2;3;S4_9704300;4
12;K1;1;1312_0101;6
12;K1;2;3958A0600;24
12;K1;3;6724_0271;12
12;K1;4;60078_0900;12
12;K1;5;1320_0101;24
12;K1;6;6753_02011;12
12;K2;1;3445A1800;6
12;K2;2;3445A1800;6
12;K2;3;342_0460;8
12;K2;4;3445A1800;6
13;K1;1;830D0100;12
13;K1;2;810A0400;12
13;K1;3;1559A0200;3
13;K1;4;810A0400;12
13;K1;5;1554A0200;8
13;K2;1;342_0460;12
13;K2;2;342_0460;12
13;K2;3;60078_0900;12
13;K2;4;342_0460;12
14;K1;1;1386A2200;12
14;K1;2;1567A0100;6
14;K1;3;4775_0002;12
14;K1;4;829D0100;12
14;K1;5;1567A0100;6
14;K1;6;1567A0100;6
14;K2;1;5450A0000;2
14;K2;2;787A0100;3
15;K1;1;810A0400;12
15;K1;2;829D0100;12
15;K1;3;786A0900;6
15;K1;4;2434A2200;6
15;K1;5;829D0100;12
15;K2;1;829D0100;12
15;K2;2;786A0900;6
15;K2;3;786A0900;6
16;K1;1;962A0100;2
16;K1;2;6724_0271;12
16;K1;3;6724_0271;12
16;K1;4;1312_0101;24
16;K1;5;6724_0271;5
16;K1;6;6753_02011;12
16;K2;1;342_0460;12
16;K2;2;962A0100;6
16;K2;3;3445A1800;6
17;K1;1;787A0100;3
17;K1;2;810A0400;8
17;K1;3;6898A0100;6
17;K1;4;831A0600;10
17;K1;5;6896A0100;12
17;K1;6;5450A0000;12
17;K2;1;1556A0200;8
17;K2;2;829D0100;12
18;K1;1;829D0100;12
18;K1;2;829D0100;12
18;K1;3;830D0100;12
18;K1;4;1567A0100;6
18;K1;5;786A0900;6
18;K1;6;1567A0100;6
18;K2;1;60078_0900;2
18;K2;2;3445A1800;6
18;K2;3;3445A1800;6
18;K2;4;3445A1800;6
19;K1;1;1806A0200;2
19;K1;2;926_0102;12
19;K1;3;1806A0200;2
19;K1;4;786A0600;3
19;K1;5;926_0102;12
19;K2;1;S4_9704300;6
19;K2;2;S4_9704300;6
19;K2;3;S4_9704300;6
20;K1;1;831A0600;10
20;K1;2;1567A0100;6
20;K1;3;1567A0100;6
20;K1;4;2434A2200;6
20;K1;5;2434A2200;2
20;K1;6;4778_0102;8
20;K2;1;831A0600;10
20;K2;2;786A0900;6
20;K2;3;4775_0002;12
21;K1;1;926_0102;12
21;K1;2;786A0600;3
21;K1;3;1806A0200;2
21;K1;4;786A0700;8
21;K1;5;786A0600;3
21;K1;6;786A0600;3
21;K2;1;3445A1800;6
21;K2;2;3445A1800;6
21;K2;3;3445A1800;6
21;K2;4;3445A1800;6
22;K1;1;787A0100;3
22;K1;2;920A0100;8
22;K1;3;1567A0100;6
22;K1;4;1567A0100;6
22;K1;5;5450A0000;12
22;K1;6;1567A0100;6
22;K1;7;1567A0100;6
22;K2;1;1806A0200;2
22;K2;2;1806A0200;2
22;K2;3;1806A0200;2
23;K1;1;1554A0200;8
23;K1;2;6898A0100;12
23;K1;3;1555A0200;4
23;K1;4;1556A0200;12
23;K1;5;1559A0200;12
23;K2;1;1806A0200;2
23;K2;2;1806A0200;2
23;K2;3;1806A0200;2
24;K1;1;787A0100;3
24;K1;2;1554A0200;6
24;K1;3;830D0100;12
