AVAILABLE QUANTITY OF ITEM: 1631
QTD OF MANUFACTURED PIECES: 1631
ELAPSED TIME:  3605.17
OBJ. FUNCTION VALUE: 45.0
STARTS: 45
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;3958A0600;24
2;K1;2;962A0100;6
2;K1;3;6864_0280;4
2;K1;4;1394_0101;6
2;K1;5;60091_011;6
2;K2;1;798_0184;5
2;K2;2;798_0184;5
2;K2;3;1806A0800;12
3;K1;1;1553A0200;3
3;K1;2;1567A0100;6
3;K1;3;2434A2200;6
3;K1;4;831A0600;10
3;K1;5;2434A2200;4
3;K1;6;786A0900;6
3;K2;1;341_0250;12
3;K2;2;3470_028;6
3;K2;3;6724_0941;12
4;K1;1;786A0600;3
4;K1;2;786A0600;3
4;K1;3;786A0600;3
4;K1;4;786A0700;6
4;K1;5;926_0102;12
4;K1;6;1806A0200;2
4;K2;1;60078_0900;12
4;K2;2;60078_0900;12
4;K2;3;1312_0101;4
5;K1;1;S4_9504622;9
5;K1;2;S4_9504612;21
5;K1;3;S4_9504622;21
5;K1;4;926_0102;12
5;K1;5;926_0102;12
5;K2;1;341_0250;9
5;K2;2;3957A0600;18
6;K1;1;4775_0002;12
6;K1;2;2434A2200;6
6;K1;3;1386A2200;12
6;K1;4;1386A2200;12
6;K1;5;1386A2200;12
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;1320_0101;24
7;K1;2;3957A0600;24
7;K1;3;6753_02011;12
7;K1;4;1312_0101;24
7;K1;5;3957A0600;24
7;K2;1;831A0600;10
7;K2;2;786A0900;6
7;K2;3;786A0900;6
7;K2;4;786A0900;6
8;K1;1;786A0600;3
8;K1;2;1806A0200;2
8;K1;3;S4_9504612;9
8;K1;4;1806A0200;2
8;K1;5;786A0600;2
8;K1;6;786A0600;3
8;K2;1;6753_02011;12
8;K2;2;341_0250;12
8;K2;3;6774_01030;12
9;K1;1;1806A0800;4
9;K1;2;1806A0800;12
9;K1;3;3958A0600;24
9;K1;4;3470_028;6
9;K1;5;1806A0800;12
9;K1;6;3958A0600;18
9;K2;1;1806A0800;12
9;K2;2;1806A0800;12
9;K2;3;3470_028;6
10;K1;1;60091_011;12
10;K1;2;1806A0800;12
10;K1;3;1806A0800;12
10;K1;4;1312_0101;24
10;K1;5;6753_02011;12
10;K1;6;1394_0101;24
10;K2;1;1642A0400;6
10;K2;2;1642A0400;6
10;K2;3;1642A0400;5
11;K1;1;1555A0200;12
11;K1;2;4775_0002;12
11;K1;3;829D0100;12
11;K1;4;1386A2200;12
11;K1;5;4775_0002;12
11;K2;1;786A0900;6
11;K2;2;786A0900;6
11;K2;3;786A0900;6
11;K2;4;786A0900;6
12;K1;1;3957A0600;24
12;K1;2;3470_028;6
12;K1;3;3957A0600;24
12;K1;4;962A0100;6
12;K1;5;3470_085;6
12;K2;1;786A0900;6
12;K2;2;831A0600;10
12;K2;3;2434A2200;6
13;K1;1;1320_0101;24
13;K1;2;962A0100;6
13;K1;3;6774_01030;2
13;K1;4;3470_085;6
13;K1;5;6753_02011;2
13;K1;6;6864_0280;3
13;K2;1;1806A0200;2
13;K2;2;1806A0200;1
13;K2;3;1806A0200;1
14;K1;1;786A0600;3
14;K1;2;786A0600;3
14;K1;3;926_0102;6
14;K1;4;786A0600;3
14;K1;5;926_0102;12
14;K1;6;786A0600;3
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;829D0100;12
15;K1;2;1559A0200;12
15;K1;3;810A0400;12
15;K1;4;1964A2200;8
15;K1;5;1567A0100;6
15;K2;1;1806A0200;2
15;K2;2;1806A0200;2
15;K2;3;1806A0200;2
16;K1;1;4775_0002;12
16;K1;2;1567A0100;4
16;K1;3;829D0100;11
16;K1;4;1567A0100;6
16;K1;5;4775_0002;12
16;K1;6;786A0900;6
16;K2;1;1642A0400;6
16;K2;2;1642A0400;1
16;K2;3;1642A0400;6
17;K1;1;786A0600;3
17;K1;2;786A0600;3
17;K1;3;786A0600;3
17;K1;4;786A0700;8
17;K1;5;786A0600;3
17;K1;6;786A0600;3
17;K2;1;1806A0800;12
17;K2;2;60078_0900;12
17;K2;3;60078_0900;11
18;K1;1;1553A0200;12
18;K1;2;4775_0002;12
18;K1;3;2434A2200;6
18;K1;4;1554A0200;7
18;K1;5;2434A2200;6
18;K2;1;798_0184;5
18;K2;2;798_0184;2
