AVAILABLE QUANTITY OF ITEM: 1526
QTD OF MANUFACTURED PIECES: 1526
ELAPSED TIME:  3605.73
OBJ. FUNCTION VALUE: 58.0
STARTS: 58
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;830D0100;12
1;K1;2;S4_9704411;6
1;K1;3;1553A0200;3
1;K1;4;810A0400;12
1;K1;5;1567A0100;6
1;K1;6;S4_9704411;6
1;K2;1;786A0900;6
1;K2;2;787A0100;3
1;K2;3;831A0600;10
2;K1;1;6724_0271;12
2;K1;2;1320_0101;23
2;K1;3;6724_0271;12
2;K1;4;3957A0600;6
2;K1;5;60091_011;12
2;K1;6;6864_0280;3
2;K2;1;1806A0200;2
2;K2;2;1806A0200;2
2;K2;3;1806A0200;2
3;K1;1;786A0600;3
3;K1;2;786A0600;3
3;K1;3;786A0600;3
3;K1;4;786A0600;3
3;K1;5;786A0600;3
3;K1;6;786A0600;3
3;K1;7;786A0600;3
3;K2;1;787A0100;3
3;K2;2;787A0100;3
3;K2;3;787A0100;3
4;K1;1;1386A2200;12
4;K1;2;1386A2200;4
4;K1;3;1386A2200;12
4;K1;4;1559A0200;12
4;K1;5;1553A0200;12
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;S4_9704411;6
5;K1;2;1567A0100;6
5;K1;3;920A0100;2
5;K1;4;4778_0102;8
5;K1;5;S4_9704411;6
5;K1;6;1556A0200;12
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;786A0700;6
6;K1;2;786A0600;3
6;K1;3;786A0700;8
6;K1;4;786A0700;8
6;K1;5;786A0600;3
6;K2;1;60078_0900;1
6;K2;2;60078_0900;1
6;K2;3;60078_0900;12
6;K2;4;60078_0900;12
7;K1;1;786A0600;3
7;K1;2;786A0600;3
7;K1;3;786A0600;3
7;K1;4;786A0600;3
7;K1;5;786A0600;3
7;K1;6;786A0600;3
7;K1;7;786A0600;3
7;K2;1;786A0900;6
7;K2;2;786A0900;6
7;K2;3;786A0900;6
7;K2;4;786A0900;6
8;K1;1;787A0100;3
8;K1;2;787A0100;3
8;K1;3;S4_9704411;6
8;K1;4;1556A0200;12
8;K1;5;1555A0200;12
8;K1;6;810A0400;12
8;K2;1;S4_9704300;6
8;K2;2;S4_9704300;6
9;K1;1;1806_041;2
9;K1;2;1806_041;2
9;K1;3;1806_041;1
9;K1;4;1806_041;2
9;K1;5;1806_041;2
9;K1;6;1806_041;2
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;S4_9704411;6
10;K1;2;787A0100;3
10;K1;3;829D0100;12
10;K1;4;S4_9704411;6
10;K1;5;810A0400;12
10;K1;6;4778_0102;8
10;K2;1;787A0100;3
10;K2;2;787A0100;3
10;K2;3;831A0600;10
11;K1;1;1554A0200;7
11;K1;2;1567A0100;4
11;K1;3;4778_0102;8
11;K1;4;S4_9704411;6
11;K1;5;1554A0200;8
11;K1;6;1567A0100;6
11;K2;1;1806A0200;2
11;K2;2;1806A0200;2
11;K2;3;1806A0200;2
12;K1;1;1556A0200;12
12;K1;2;1555A0200;12
12;K1;3;1555A0200;12
12;K1;4;4778_0102;8
12;K1;5;1559A0200;12
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;S4_9704411;6
13;K1;2;829D0100;12
13;K1;3;829D0100;12
13;K1;4;1556A0200;12
13;K1;5;787A0100;3
13;K1;6;787A0100;3
13;K2;1;6774_01030;4
13;K2;2;60078_0900;12
13;K2;3;60078_0900;12
14;K1;1;4778_0102;8
14;K1;2;S4_9704411;6
14;K1;3;S4_9704411;6
14;K1;4;S4_9704411;6
14;K1;5;1555A0200;12
14;K1;6;1559A0200;12
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;962A0100;2
15;K1;2;1320_0101;24
15;K1;3;341_0250;9
15;K1;4;6724_0271;12
15;K1;5;1806_041;2
15;K1;6;6753_02011;12
15;K2;1;S4_9704300;6
15;K2;2;S4_9704300;6
15;K2;3;S4_9704300;6
16;K1;1;341_0250;12
16;K1;2;1806_041;2
16;K1;3;6753_02011;12
16;K1;4;962A0100;6
16;K1;5;962A0100;6
16;K1;6;60091_011;6
16;K2;1;1806A0200;2
16;K2;2;1806A0200;2
16;K2;3;1806A0200;2
17;K1;1;S4_9704411;6
17;K1;2;787A0100;3
17;K1;3;830D0100;12
17;K1;4;787A0100;3
17;K1;5;1567A0100;6
17;K1;6;1567A0100;6
17;K1;7;787A0100;3
17;K2;1;1806A0200;2
17;K2;2;1806A0200;2
17;K2;3;1806A0200;2
18;K1;1;1556A0200;12
18;K1;2;787A0100;3
18;K1;3;787A0100;3
18;K1;4;787A0100;3
18;K1;5;810A0400;12
18;K1;6;787A0100;3
18;K2;1;1806A0200;2
18;K2;2;1806A0200;2
18;K2;3;1806A0200;2
19;K1;1;S4_9704300;6
19;K1;2;S4_9704300;6
19;K1;3;S4_9704300;6
19;K1;4;S4_9704300;6
19;K1;5;S4_9704300;6
19;K1;6;S4_9704300;6
19;K1;7;S4_9704300;6
19;K1;8;S4_9704300;6
19;K2;1;1806A0200;2
19;K2;2;1806A0200;2
19;K2;3;1806A0200;2
20;K1;1;786A0600;3
20;K1;2;786A0600;3
20;K1;3;786A0600;3
20;K1;4;786A0600;3
20;K1;5;786A0600;3
20;K1;6;786A0600;3
20;K1;7;786A0600;3
20;K2;1;798_0184;5
20;K2;2;798_0184;5
21;K1;1;6724_0271;12
21;K1;2;6724_0271;12
21;K1;3;6724_0271;12
21;K1;4;60091_011;12
21;K1;5;6724_0271;12
21;K1;6;6724_0271;12
21;K1;7;341_0250;12
21;K2;1;1806A0200;2
21;K2;2;1806A0200;2
21;K2;3;1806A0200;2
22;K1;1;787A0100;3
22;K1;2;787A0100;3
22;K1;3;1559A0200;4
22;K1;4;1555A0200;12
22;K1;5;787A0100;2
22;K1;6;S4_9704411;6
22;K2;1;1806A0200;2
22;K2;2;1806A0200;2
22;K2;3;1806A0200;2
23;K1;1;6864_0280;4
23;K1;2;6724_0271;12
23;K1;3;962A0100;6
23;K1;4;6724_0271;12
23;K1;5;1806_041;2
23;K1;6;1806_041;2
23;K2;1;786A0900;6
23;K2;2;831A0600;10
23;K2;3;786A0900;6
23;K2;4;786A0900;6
24;K1;1;810A0400;12
24;K1;2;787A0100;3
24;K1;3;920A0100;8
24;K1;4;787A0100;3
24;K1;5;787A0100;3
24;K1;6;787A0100;3
24;K2;1;1806A0200;2
24;K2;2;1806A0200;2
24;K2;3;1806A0200;2
25;K1;1;6774_01030;12
25;K1;2;1806_041;2
25;K1;3;1320_0101;24
25;K1;4;6753_02011;6
25;K1;5;341_0250;12
25;K1;6;1806_041;2
25;K2;1;1806A0200;2
25;K2;2;1806A0200;2
25;K2;3;1806A0200;2
26;K1;1;S4_9704411;6
26;K1;2;1567A0100;6
26;K1;3;S4_9704411;6
26;K1;4;S4_9704411;6
26;K1;5;S4_9704411;6
26;K1;6;S4_9704411;6
26;K1;7;S4_9704411;6
26;K1;8;830D0100;12
26;K2;1;786A0900;6
26;K2;2;786A0900;6
26;K2;3;1386A2200;12
27;K1;1;6774_01030;12
27;K1;2;6774_01030;12
27;K1;3;6864_0280;4
27;K1;4;1806_041;2
27;K1;5;3957A0600;24
27;K2;1;1806A0200;2
27;K2;2;1806A0200;2
27;K2;3;1806A0200;2
28;K1;1;786A0600;3
28;K1;2;786A0600;3
28;K1;3;786A0600;3
28;K2;1;787A0100;3
28;K2;2;831A0600;10
28;K2;3;787A0100;3
29;K1;1;786A0600;3
29;K1;2;786A0600;3
29;K1;3;786A0700;8
29;K2;1;1806A0200;2
29;K2;2;1806A0200;1
29;K2;3;1806A0200;1
END
