AVAILABLE QUANTITY OF ITEM: 1432
QTD OF MANUFACTURED PIECES: 1432
ELAPSED TIME:  3607.83
OBJ. FUNCTION VALUE: 36.0
STARTS: 36
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1642A0400;6
1;K2;2;S4_9704300;6
2;K1;1;341_0250;12
2;K1;2;6753_02011;12
2;K1;3;341_0250;6
2;K1;4;3957A0600;18
2;K1;5;341_0250;12
2;K1;6;1312_0101;24
2;K2;1;1806_5051;10
2;K2;2;60091_011;6
2;K2;3;798_0184;5
3;K1;1;830D0100;12
3;K1;2;831A0600;10
3;K1;3;1554A0200;7
3;K1;4;831A0600;10
3;K1;5;831A0600;10
3;K1;6;787A0100;2
3;K2;1;S4_9704300;6
3;K2;2;1642A0400;2
3;K2;3;S4_9704300;6
4;K1;1;6774_01030;12
4;K1;2;6774_01030;4
4;K1;3;6774_01030;12
4;K1;4;1312_0101;24
4;K1;5;6753_02011;12
4;K1;6;1568_0101;24
4;K2;1;1642A0400;6
4;K2;2;S4_9704300;6
4;K2;3;1642A0400;6
5;K1;1;830D0100;12
5;K1;2;1386A2200;12
5;K1;3;787A0100;3
5;K1;4;1555A0200;2
5;K1;5;830D0100;12
5;K2;1;1806_5051;10
5;K2;2;1806_5051;10
5;K2;3;1806_5051;10
6;K1;1;1806A0200;2
6;K1;2;1806A0200;2
6;K1;3;786A0600;3
6;K1;4;786A0600;3
6;K1;5;786A0600;3
6;K1;6;1806A0200;2
6;K2;1;831A0600;10
6;K2;2;831A0600;10
6;K2;3;831A0600;10
6;K2;4;831A0600;10
7;K1;1;1567A0100;6
7;K1;2;787A0100;3
7;K1;3;830D0100;12
7;K1;4;1567A0100;6
7;K1;5;1567A0100;6
7;K1;6;1555A0200;12
7;K2;1;341_0250;12
7;K2;2;1806_5051;10
7;K2;3;798_0184;5
8;K1;1;1394_0101;24
8;K1;2;962A0100;6
8;K1;3;1312_0101;8
8;K1;4;1312_0101;24
8;K1;5;962A0100;6
8;K2;1;1394_0101;12
8;K2;2;798_0184;5
9;K1;1;831A0600;10
9;K1;2;1567A0100;6
9;K1;3;1553A0200;6
9;K1;4;1555A0200;12
9;K1;5;831A0600;10
9;K1;6;831A0600;10
9;K1;7;1567A0100;6
9;K2;1;1642A0400;6
9;K2;2;1642A0400;6
9;K2;3;1642A0400;6
10;K1;1;787A0100;3
10;K1;2;830D0100;12
10;K1;3;1556A0200;4
10;K1;4;1567A0100;6
10;K1;5;1386A2200;12
10;K1;6;1567A0100;4
10;K2;1;831A0600;10
10;K2;2;831A0600;10
10;K2;3;1559A0200;8
11;K1;1;6774_01030;12
11;K1;2;6774_01030;12
11;K1;3;341_0250;12
11;K1;4;1806_5051;10
11;K1;5;3957A0600;24
11;K1;6;1312_0101;24
11;K2;1;1806A0200;2
11;K2;2;1806A0200;2
11;K2;3;1806A0200;2
12;K1;1;831A0600;10
12;K1;2;830D0100;12
12;K1;3;1386A2200;8
12;K1;4;1559A0200;12
12;K1;5;830D0100;12
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;3957A0600;24
13;K1;2;6774_01030;12
13;K1;3;6774_01030;12
13;K1;4;6753_02011;12
13;K1;5;6753_02011;2
13;K1;6;962A0100;6
13;K2;1;798_0184;5
13;K2;2;798_0184;5
13;K2;3;798_0184;5
14;K1;1;60091_011;12
14;K1;2;1568_0101;16
14;K1;3;341_0250;12
14;K1;4;60091_011;12
14;K1;5;6753_02011;12
14;K1;6;3957A0600;24
14;K2;1;1642A0400;6
14;K2;2;1642A0400;6
14;K2;3;1642A0400;6
15;K1;1;786A0600;3
15;K1;2;786A0600;3
15;K1;3;786A0600;3
15;K1;4;786A0600;3
15;K1;5;786A0600;3
15;K1;6;786A0600;3
15;K1;7;786A0600;1
15;K2;1;1806_5051;10
15;K2;2;1806_5051;10
15;K2;3;1806_5051;10
16;K1;1;341_0250;12
16;K1;2;341_0250;12
16;K1;3;1394_0101;24
16;K1;4;6774_01030;12
16;K1;5;3957A0600;24
16;K1;6;6774_01030;12
16;K2;1;S4_9704300;3
16;K2;2;1642A0400;6
16;K2;3;S4_9704300;6
17;K1;1;1556A0200;12
17;K1;2;1386A2200;12
17;K1;3;1556A0200;12
17;K1;4;830D0100;12
17;K1;5;830D0100;12
17;K2;1;1642A0400;6
17;K2;2;1642A0400;6
17;K2;3;1642A0400;6
18;K1;1;787A0100;3
18;K1;2;1553A0200;12
18;K1;3;831A0600;10
18;K1;4;1386A2200;12
18;K1;5;1554A0200;8
18;K1;6;787A0100;3
18;K2;1;798_0184;5
18;K2;2;1806_5051;10
18;K2;3;798_0184;5
19;K1;1;831A0600;10
19;K1;2;831A0600;10
19;K1;3;1556A0200;12
19;K1;4;1553A0200;12
19;K1;5;1555A0200;12
19;K1;6;787A0100;3
END
