AVAILABLE QUANTITY OF ITEM: 2330
QTD OF MANUFACTURED PIECES: 2330
ELAPSED TIME: 10805.87
OBJ. FUNCTION VALUE: 60.0
STARTS: 60
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;787A0100;2
1;K1;2;1567A0100;6
1;K1;3;1567A0100;6
1;K1;4;2434A2200;6
1;K1;5;4775_0002;12
1;K1;6;810A0400;8
2;K1;1;S4_9704300;6
2;K1;2;S4_9704300;6
2;K1;3;S4_9704300;6
2;K1;4;S4_9704300;4
2;K1;5;S4_9704300;6
2;K1;6;S4_9704300;6
2;K1;7;S4_9704300;6
2;K2;1;2434A2200;2
2;K2;2;1555A0200;4
3;K1;1;1567A0100;6
3;K1;2;4778_0102;8
3;K1;3;786A0900;6
3;K1;4;5450A0000;12
3;K1;5;5450A0000;12
3;K1;6;920A0100;4
3;K2;1;60091_011;12
3;K2;2;6753_02011;12
3;K2;3;3470_085;6
4;K1;1;3470_085;6
4;K1;2;6724_0271;12
4;K1;3;3957A0600;24
4;K1;4;6753_02011;12
4;K1;5;6724_0271;12
4;K1;6;6724_0271;12
4;K1;7;3445A1800;6
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;787A0100;3
5;K1;2;829D0100;12
5;K1;3;1567A0100;6
5;K1;4;1567A0100;6
5;K1;5;829D0100;12
5;K1;6;6898A0100;12
5;K2;1;60091_011;12
5;K2;2;60091_011;12
5;K2;3;6754_0481;12
6;K1;1;1320_0101;24
6;K1;2;1806_041;2
6;K1;3;6724_0271;12
6;K1;4;1806_041;2
6;K1;5;3958A0600;24
6;K2;1;1806A0200;2
6;K2;2;786A0700;6
7;K1;1;786A0700;8
7;K1;2;786A0600;1
7;K1;3;786A0600;3
7;K1;4;926_0102;12
7;K1;5;786A0600;3
7;K1;6;786A0600;3
7;K2;1;342_0460;12
7;K2;2;342_0460;12
7;K2;3;342_0460;12
7;K2;4;342_0460;12
8;K1;1;6753_02011;12
8;K1;2;6754_0481;12
8;K1;3;60091_011;12
8;K1;4;962A0100;6
8;K1;5;3958A0600;12
8;K1;6;6724_0271;6
8;K2;1;831A0600;10
8;K2;2;1386A2200;4
8;K2;3;786A0900;6
9;K1;1;787A0100;3
9;K1;2;4778_0102;8
