AVAILABLE QUANTITY OF ITEM: 3729
QTD OF MANUFACTURED PIECES: 3729
ELAPSED TIME: 10809.68
OBJ. FUNCTION VALUE: 111.0
STARTS: 111
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;1567A0100;6
2;K1;2;787A0100;3
2;K1;3;787A0100;3
2;K1;4;1567A0100;6
2;K1;5;786A0900;6
2;K1;6;1555A0200;12
2;K1;7;1567A0100;6
2;K2;1;1806_5051;10
2;K2;2;798_0184;5
2;K2;3;1806_5051;10
3;K1;1;1806D0900;60
3;K1;2;1806_041;2
3;K1;3;1806_041;2
3;K1;4;3958A0600;24
3;K1;5;1806_041;2
3;K1;6;1568_0101;24
3;K2;1;831A0600;10
3;K2;2;831A0600;10
3;K2;3;830D0100;12
4;K1;1;830D0100;12
4;K1;2;S4_9704411;6
4;K1;3;1555A0200;4
4;K1;4;1567A0100;6
4;K1;5;1567A0100;6
4;K1;6;1386A2200;4
4;K2;1;1806_5051;10
4;K2;2;6753_02011;12
4;K2;3;6754_0481;4
5;K1;1;920A0100;2
5;K1;2;829D0100;12
5;K1;3;1567A0100;6
5;K1;4;831A0600;10
5;K1;5;810A0400;12
5;K1;6;1567A0100;6
5;K2;1;1567A0100;6
5;K2;2;1567A0100;6
5;K2;3;787A0100;3
6;K1;1;918_0102;15
6;K1;2;786A0600;3
6;K1;3;786A0600;3
6;K1;4;786A0700;6
6;K1;5;786A0600;3
6;K1;6;1806A0200;2
6;K2;1;831A0600;10
6;K2;2;831A0600;10
6;K2;3;786A0900;6
7;K1;1;1806_041;2
7;K1;2;1806_041;2
7;K1;3;1806_041;2
7;K1;4;3470_085;6
7;K1;5;6754_0481;12
7;K1;6;3958A0600;12
7;K2;1;6774_01030;12
7;K2;2;6774_01030;12
7;K2;3;1806_5051;10
8;K1;1;3958A0600;24
8;K1;2;70069_23;12
8;K1;3;3958A0600;24
8;K1;4;1806_041;2
8;K1;5;3958A0600;24
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;1806A0800;12
9;K1;2;1806_041;2
9;K1;3;1806_041;2
9;K1;4;342_0460;12
9;K1;5;3958A0600;24
9;K1;6;962A0100;6
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;60091_011;12
10;K1;2;1806_5051;10
10;K1;3;3958A0600;24
10;K1;4;1806_041;2
10;K1;5;1806_041;2
10;K1;6;6753_02011;12
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;786A0600;3
11;K1;2;918_0102;15
11;K1;3;918_0102;5
11;K1;4;786A0600;3
11;K1;5;786A0600;3
11;K1;6;786A0600;3
11;K2;1;1555A0200;12
11;K2;2;829D0100;12
12;K1;1;1567A0100;6
12;K1;2;1567A0100;6
12;K1;3;786A0900;6
12;K1;4;830D0100;12
12;K1;5;786A0900;6
12;K1;6;1567A0100;6
12;K1;7;920A0100;8
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;786A0900;6
13;K1;2;787A0100;3
13;K1;3;1567A0100;6
13;K1;4;810A0400;12
13;K1;5;4781A0100;8
13;K1;6;830D0100;12
13;K2;1;962A0100;6
13;K2;2;1806D0900;60
14;K1;1;810A0400;12
14;K1;2;1559A0200;12
14;K1;3;829D0100;12
14;K1;4;830D0100;12
14;K1;5;830D0100;12
14;K2;1;831A0600;10
14;K2;2;786A0900;6
14;K2;3;831A0600;10
14;K2;4;831A0600;10
15;K1;1;S4_9704411;6
15;K1;2;1567A0100;6
15;K1;3;829D0100;12
15;K1;4;810A0400;8
15;K1;5;S4_9704411;6
15;K1;6;829D0100;12
15;K2;1;787A0100;3
15;K2;2;787A0100;3
15;K2;3;786A0900;6
16;K1;1;6774_01030;12
16;K1;2;1806_041;2
16;K1;3;6753_02011;12
16;K1;4;1806_041;2
16;K1;5;1806_041;2
16;K1;6;341_0250;12
16;K2;1;6753_02011;6
16;K2;2;60091_011;12
16;K2;3;6774_01030;12
17;K1;1;1559A0200;3
17;K1;2;830D0100;12
17;K1;3;1386A2200;12
17;K1;4;4781A0100;8
17;K1;5;830D0100;12
17;K2;1;1806A0200;2
17;K2;2;1806A0200;2
17;K2;3;1806A0200;2
18;K1;1;1567A0100;6
18;K1;2;4778_0102;6
18;K1;3;1567A0100;6
18;K1;4;1567A0100;6
18;K1;5;1567A0100;6
18;K1;6;1567A0100;6
18;K1;7;786A0900;6
18;K2;1;1806A0200;2
18;K2;2;1806A0200;2
18;K2;3;1806A0200;2
19;K1;1;1567A0100;6
19;K1;2;1567A0100;6
19;K1;3;1553A0200;12
19;K1;4;786A0900;6
19;K1;5;1567A0100;6
19;K1;6;829D0100;12
19;K1;7;786A0900;6
19;K2;1;1806_5051;10
19;K2;2;1806_5051;10
19;K2;3;1806A0800;12
20;K1;1;4778_0102;8
20;K1;2;810A0400;12
20;K1;3;1567A0100;6
20;K1;4;1559A0200;12
20;K1;5;1567A0100;6
20;K1;6;787A0100;3
20;K2;1;1806A0200;2
20;K2;2;1806A0200;2
20;K2;3;1806A0200;2
21;K1;1;918_0102;15
21;K1;2;786A0600;3
21;K1;3;786A0600;3
21;K1;4;786A0700;8
21;K1;5;786A0600;3
21;K1;6;786A0600;3
21;K2;1;70069_23;6
21;K2;2;1806_041;2
22;K1;1;1806_041;2
22;K1;2;3957A0600;24
22;K1;3;6754_0481;12
22;K1;4;1806_041;2
22;K1;5;1806_041;2
22;K1;6;6774_01030;12
22;K2;1;1806A0800;12
22;K2;2;342_0460;12
22;K2;3;6774_01030;12
23;K1;1;810A0400;12
23;K1;2;1567A0100;6
23;K1;3;1567A0100;6
23;K1;4;787A0100;3
23;K1;5;1553A0200;12
23;K1;6;1559A0200;12
23;K2;1;1806A0800;12
23;K2;2;6754_0481;12
23;K2;3;6774_01030;6
24;K1;1;6754_0481;12
24;K1;2;1806_041;2
24;K1;3;6753_02011;12
24;K1;4;1806_041;2
24;K1;5;1806_5051;10
24;K1;6;1806_5051;10
24;K2;1;1806A0200;2
24;K2;2;1806A0200;2
24;K2;3;1806A0200;2
25;K1;1;1806_5051;10
25;K1;2;60091_011;12
25;K1;3;1568_0101;24
25;K1;4;1806A0800;12
25;K1;5;1806_041;2
25;K1;6;341_0250;12
25;K2;1;342_0460;12
25;K2;2;342_0460;12
25;K2;3;342_0460;12
25;K2;4;342_0460;4
26;K1;1;1806_041;2
26;K1;2;1806_041;2
26;K1;3;1806_041;2
26;K1;4;1806_041;2
26;K1;5;1806_041;2
26;K1;6;60091_011;12
26;K2;1;1806_5051;10
26;K2;2;3470_085;6
26;K2;3;1806_5051;10
27;K1;1;786A0600;3
27;K1;2;786A0600;3
27;K1;3;786A0600;3
27;K1;4;786A0600;3
27;K1;5;786A0600;3
27;K1;6;786A0600;3
27;K1;7;786A0600;2
27;K2;1;1806A0200;2
27;K2;2;1806A0200;2
27;K2;3;1806A0200;2
28;K1;1;829D0100;12
28;K1;2;1567A0100;6
28;K1;3;1567A0100;6
28;K1;4;1567A0100;6
28;K1;5;1386A2200;12
28;K1;6;1559A0200;12
28;K2;1;1806_5051;10
28;K2;2;60091_011;12
28;K2;3;6754_0481;12
29;K1;1;1567A0100;6
29;K1;2;1555A0200;12
29;K1;3;786A0900;6
29;K1;4;1567A0100;6
29;K1;5;830D0100;12
29;K1;6;1567A0100;6
29;K1;7;786A0900;6
29;K2;1;786A0900;6
29;K2;2;786A0900;6
29;K2;3;786A0900;6
29;K2;4;831A0600;10
30;K1;1;830D0100;12
30;K1;2;1567A0100;6
30;K1;3;787A0100;3
30;K1;4;830D0100;12
30;K1;5;1567A0100;6
30;K1;6;829D0100;12
30;K2;1;1806A0200;2
30;K2;2;1806A0200;2
30;K2;3;1806A0200;2
31;K1;1;1567A0100;6
31;K1;2;1567A0100;6
31;K1;3;1567A0100;6
31;K1;4;787A0100;3
31;K1;5;830D0100;12
31;K1;6;1567A0100;6
31;K1;7;1567A0100;6
31;K2;1;1806A0200;2
31;K2;2;1806A0200;2
31;K2;3;1806A0200;2
32;K1;1;1964A2200;8
32;K1;2;787A0100;3
32;K1;3;1567A0100;6
32;K1;4;1567A0100;6
