AVAILABLE QUANTITY OF ITEM: 2290
QTD OF MANUFACTURED PIECES: 2290
ELAPSED TIME: 10816.91
OBJ. FUNCTION VALUE: 79.0
STARTS: 79
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;786A0600;3
1;K1;2;786A0600;3
1;K1;3;786A0600;3
1;K1;4;786A0600;2
1;K1;5;786A0600;3
1;K1;6;786A0600;3
1;K1;7;786A0600;1
2;K1;1;1806_041;2
2;K1;2;1320_0101;24
2;K1;3;1394_0101;24
2;K1;4;3958A0600;24
2;K1;5;1806_041;2
2;K2;1;786A0900;6
2;K2;2;831A0600;10
2;K2;3;831A0600;10
2;K2;4;831A0600;10
3;K1;1;1806_041;2
3;K1;2;1806_041;2
3;K1;3;1806_041;2
3;K1;4;1806_041;2
3;K1;5;1806_041;2
3;K1;6;1806_041;2
3;K2;1;787A0100;3
3;K2;2;787A0100;3
3;K2;3;787A0100;3
4;K1;1;1320_0101;24
4;K1;2;6774_01030;12
4;K1;3;1806_041;2
4;K1;4;1806_041;2
4;K1;5;6774_01030;6
4;K1;6;1806_041;2
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;786A0600;3
5;K1;2;926_0102;12
5;K1;3;786A0600;3
5;K1;4;926_0102;12
5;K1;5;926_0102;2
5;K2;1;831A0600;10
5;K2;2;786A0900;6
5;K2;3;831A0600;10
5;K2;4;786A0900;6
6;K1;1;1567A0100;6
6;K1;2;1567A0100;6
6;K1;3;1567A0100;6
6;K1;4;1567A0100;6
6;K1;5;1567A0100;6
6;K1;6;787A0100;3
6;K1;7;831A0600;10
6;K1;8;786A0900;6
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;3957A0600;12
7;K1;2;3958A0600;24
7;K1;3;1394_0101;12
7;K1;4;3958A0600;24
7;K1;5;3958A0600;24
7;K2;1;787A0100;2
7;K2;2;786A0900;6
7;K2;3;787A0100;3
8;K1;1;786A0600;3
8;K1;2;786A0600;3
8;K1;3;786A0600;3
8;K1;4;786A0600;3
8;K1;5;786A0600;3
8;K1;6;786A0600;3
8;K1;7;786A0600;3
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;1386A2200;12
9;K1;2;2434A2200;2
9;K1;3;1559A0200;12
9;K1;4;4781A0100;8
9;K1;5;1553A0200;6
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;1567A0100;6
10;K1;2;1567A0100;6
10;K1;3;1386A2200;8
10;K1;4;1567A0100;6
10;K1;5;830D0100;12
10;K1;6;1567A0100;6
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;1
11;K1;1;1312_0101;24
11;K1;2;1806_041;2
11;K1;3;3958A0600;24
11;K1;4;3958A0600;12
11;K1;5;1806_041;1
11;K2;1;786A0900;6
11;K2;2;787A0100;3
11;K2;3;1567A0100;6
12;K1;1;2434A2200;6
12;K1;2;1567A0100;6
12;K1;3;830D0100;12
12;K1;4;787A0100;3
12;K1;5;6896A0100;12
12;K1;6;1567A0100;6
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;1556A0200;12
13;K1;2;787A0100;3
13;K1;3;830D0100;12
13;K1;4;810A0400;12
13;K1;5;1386A2200;12
13;K2;1;1806A0200;2
13;K2;2;1806A0200;2
13;K2;3;1806A0200;2
14;K1;1;1568_0101;4
14;K1;2;3957A0600;24
14;K1;3;1320_0101;21
14;K1;4;1320_0101;24
14;K1;5;1568_0101;24
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;1806_041;2
15;K1;2;1806_041;2
15;K1;3;1806_041;2
15;K1;4;1806_041;2
15;K1;5;1806_041;2
15;K1;6;1806_041;2
15;K2;1;1806A0200;2
15;K2;2;1806A0200;2
15;K2;3;1806A0200;2
16;K1;1;830D0100;12
16;K1;2;4775_0002;12
16;K1;3;830D0100;12
16;K1;4;6896A0100;12
16;K1;5;830D0100;12
