AVAILABLE QUANTITY OF ITEM: 2290
QTD OF MANUFACTURED PIECES: 2290
ELAPSED TIME:   601.97
OBJ. FUNCTION VALUE: 81.0
STARTS: 81
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;1567A0100;6
2;K1;2;787A0100;3
2;K1;3;787A0100;3
2;K1;4;1559A0200;12
2;K1;5;1556A0200;12
2;K1;6;1567A0100;6
2;K2;1;1806A0200;2
2;K2;2;1806A0200;2
2;K2;3;1806A0200;2
3;K1;1;1559A0200;12
3;K1;2;787A0100;3
3;K1;3;1559A0200;12
3;K1;4;1559A0200;9
3;K1;5;4781A0100;8
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;3957A0600;24
4;K1;2;3958A0600;24
4;K1;3;1806_041;2
4;K1;4;1320_0101;24
4;K1;5;6774_01030;6
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;1567A0100;6
5;K1;2;1567A0100;6
5;K1;3;1559A0200;12
5;K1;4;1567A0100;6
5;K1;5;1559A0200;12
5;K1;6;786A0900;6
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;1806_041;2
6;K1;2;1806_041;2
6;K1;3;1806_041;2
6;K1;4;3958A0600;12
6;K1;5;1320_0101;24
6;K2;1;1806A0200;2
6;K2;2;786A0600;3
7;K1;1;4778_0102;8
7;K1;2;4781A0100;8
7;K1;3;1567A0100;6
7;K1;4;6896A0100;12
7;K1;5;787A0100;3
7;K1;6;786A0900;6
7;K2;1;831A0600;10
7;K2;2;786A0900;6
7;K2;3;786A0900;6
7;K2;4;831A0600;10
8;K1;1;1386A2200;8
8;K1;2;786A0900;6
8;K1;3;1567A0100;6
8;K1;4;787A0100;3
8;K1;5;1386A2200;12
8;K1;6;831A0600;10
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;830D0100;12
9;K1;2;1553A0200;12
9;K1;3;810A0400;12
9;K1;4;6896A0100;12
9;K1;5;1386A2200;12
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;786A0600;3
10;K1;2;786A0600;3
10;K1;3;786A0600;3
10;K1;4;786A0600;3
10;K1;5;786A0600;3
10;K1;6;786A0600;3
10;K1;7;786A0600;3
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;810A0400;12
11;K1;2;1386A2200;12
11;K1;3;4781A0100;8
11;K1;4;1559A0200;12
11;K1;5;4775_0002;12
11;K2;1;787A0100;3
11;K2;2;831A0600;10
11;K2;3;787A0100;3
12;K1;1;926_0102;12
12;K1;2;786A0600;3
12;K1;3;786A0600;3
12;K1;4;1806A0200;2
12;K1;5;786A0600;3
12;K1;6;926_0102;2
12;K2;1;786A0900;6
12;K2;2;831A0600;10
12;K2;3;831A0600;10
12;K2;4;831A0600;10
13;K1;1;4781A0100;8
13;K1;2;1567A0100;6
13;K1;3;4781A0100;8
13;K1;4;1567A0100;6
13;K1;5;787A0100;3
13;K1;6;1556A0200;12
13;K2;1;1806A0200;2
13;K2;2;1806A0200;2
13;K2;3;1806A0200;2
14;K1;1;3958A0600;24
14;K1;2;3958A0600;24
14;K1;3;1394_0101;24
14;K1;4;3958A0600;24
14;K1;5;1806_041;2
14;K2;1;1568_0101;4
14;K2;2;1568_0101;24
15;K1;1;830D0100;12
15;K1;2;810A0400;12
15;K1;3;1567A0100;6
15;K1;4;1567A0100;6
15;K1;5;6896A0100;12
15;K1;6;1567A0100;6
15;K2;1;1806A0200;2
15;K2;2;1806A0200;2
15;K2;3;1806A0200;2
16;K1;1;1806_041;2
16;K1;2;1312_0101;24
16;K1;3;1394_0101;24
16;K1;4;1320_0101;21
16;K1;5;1320_0101;24
16;K2;1;1806A0200;2
16;K2;2;1806A0200;2
16;K2;3;1806A0200;2
17;K1;1;787A0100;3
17;K1;2;4778_0102;6
17;K1;3;4781A0100;8
17;K1;4;831A0600;10
17;K1;5;787A0100;3
17;K1;6;1567A0100;6
17;K2;1;1806A0200;2
17;K2;2;1806A0200;2
17;K2;3;1806A0200;2
18;K1;1;787A0100;3
18;K1;2;1556A0200;8
18;K1;3;787A0100;3
18;K1;4;1567A0100;6
18;K1;5;1567A0100;6
18;K1;6;4781A0100;8
18;K2;1;831A0600;10
18;K2;2;830D0100;12
18;K2;3;831A0600;10
19;K1;1;787A0100;3
19;K1;2;1567A0100;6
19;K1;3;2434A2200;6
19;K1;4;787A0100;3
19;K1;5;1556A0200;12
19;K1;6;787A0100;3
19;K2;1;1568_0101;24
19;K2;2;1806_041;2
20;K1;1;1553A0200;6
20;K1;2;1559A0200;12
20;K1;3;787A0100;3
20;K1;4;1567A0100;6
20;K1;5;1567A0100;6
20;K1;6;1556A0200;12
20;K2;1;1806A0200;2
20;K2;2;1806A0200;2
20;K2;3;1806A0200;2
21;K1;1;1568_0101;24
21;K1;2;3958A0600;24
21;K1;3;3958A0600;24
21;K1;4;1806_041;2
21;K1;5;6774_01030;12
21;K2;1;831A0600;10
21;K2;2;831A0600;10
21;K2;3;2434A2200;2
22;K1;1;786A0900;6
22;K1;2;1553A0200;12
22;K1;3;1386A2200;12
22;K1;4;786A0900;6
22;K1;5;4775_0002;12
22;K1;6;786A0900;6
22;K2;1;1806A0200;2
22;K2;2;1806A0200;2
23;K1;1;830D0100;12
23;K1;2;830D0100;12
23;K1;3;830D0100;12
23;K1;4;810A0400;4
23;K1;5;830D0100;12
23;K2;1;787A0100;3
23;K2;2;787A0100;3
23;K2;3;787A0100;3
24;K1;1;1806_041;2
24;K1;2;1806_041;2
24;K1;3;1806_041;2
24;K1;4;1806_041;2
24;K1;5;1806_041;2
24;K1;6;1806_041;2
24;K2;1;830D0100;12
24;K2;2;787A0100;3
25;K1;1;1320_0101;24
25;K1;2;1806_041;2
25;K1;3;1806_041;2
25;K1;4;1320_0101;24
25;K1;5;1806_041;2
25;K2;1;1806A0200;2
25;K2;2;926_0102;12
26;K1;1;1806_041;2
26;K1;2;1806_041;2
26;K1;3;6774_01030;12
26;K1;4;3957A0600;12
26;K1;5;1394_0101;12
26;K2;1;1806A0200;2
26;K2;2;1806A0200;2
26;K2;3;1806A0200;2
27;K1;1;4781A0100;8
27;K1;2;1567A0100;4
27;K1;3;1964A2200;5
27;K1;4;4778_0102;8
27;K1;5;1567A0100;6
27;K2;1;1806A0200;2
27;K2;2;1806A0200;2
27;K2;3;1806A0200;2
28;K1;1;1567A0100;6
28;K1;2;1567A0100;6
28;K1;3;920A0100;8
28;K1;4;1386A2200;12
28;K1;5;1567A0100;6
28;K1;6;4778_0102;8
28;K2;1;1806A0200;2
28;K2;2;1806A0200;2
28;K2;3;1806A0200;2
29;K1;1;1320_0101;24
29;K1;2;1806_041;2
29;K1;3;3957A0600;24
29;K1;4;1806_041;2
29;K1;5;1806_041;2
29;K2;1;787A0100;3
29;K2;2;1567A0100;6
29;K2;3;787A0100;3
30;K1;1;787A0100;3
30;K1;2;6896A0100;12
30;K1;3;4781A0100;8
30;K1;4;787A0100;3
30;K1;5;4775_0002;12
30;K2;1;1386A2200;12
30;K2;2;787A0100;2
31;K1;1;1806_041;2
31;K1;2;1320_0101;24
31;K1;3;1806_041;2
31;K1;4;1806_041;2
31;K1;5;1806_041;2
31;K2;1;1806A0200;2
31;K2;2;1806A0200;2
31;K2;3;1806A0200;2
32;K1;1;1806_041;2
32;K1;2;1806_041;2
32;K1;3;1806_041;1
32;K1;4;1312_0101;4
32;K1;5;1806_041;2
32;K2;1;1806A0200;2
32;K2;2;1806A0200;2
32;K2;3;1806A0200;2
33;K1;1;786A0600;3
33;K1;2;786A0600;3
33;K1;3;786A0600;3
33;K1;4;786A0600;3
33;K1;5;786A0600;3
33;K1;6;786A0600;3
33;K1;7;786A0600;3
33;K2;1;1806A0200;2
33;K2;2;1806A0200;2
33;K2;3;1806A0200;2
34;K1;1;1567A0100;6
34;K1;2;1567A0100;6
34;K1;3;1556A0200;12
34;K1;4;6896A0100;12
34;K1;5;787A0100;3
34;K1;6;920A0100;8
34;K2;1;1806A0200;2
34;K2;2;1806A0200;2
