AVAILABLE QUANTITY OF ITEM: 1500
QTD OF MANUFACTURED PIECES: 1500
ELAPSED TIME:   601.79
OBJ. FUNCTION VALUE: 65.0
STARTS: 65
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;786A0900;3
1;K2;2;829D0100;12
1;K2;3;831A0600;9
2;K1;1;S4_9704411;6
2;K1;2;1567A0100;6
2;K1;3;920A0100;2
2;K1;4;1567A0100;6
2;K1;5;1567A0100;6
2;K1;6;6898A0100;10
2;K1;7;S4_9704411;6
2;K2;1;60091_011;4
2;K2;2;3957A0600;24
3;K1;1;5450A0000;12
3;K1;2;1567A0100;6
3;K1;3;1964A2200;8
3;K1;4;1567A0100;6
3;K1;5;787A0100;2
3;K1;6;4781A0100;8
3;K2;1;786A0900;6
3;K2;2;831A0600;10
3;K2;3;786A0900;6
3;K2;4;786A0900;6
4;K1;1;3470_028;6
4;K1;2;60091_011;12
4;K1;3;3470_028;6
4;K1;4;798_0184;5
4;K1;5;798_0184;5
4;K1;6;1806_041;2
4;K2;1;798_0184;5
4;K2;2;798_0184;5
4;K2;3;798_0184;5
5;K1;1;926_0102;12
5;K1;2;786A0600;3
5;K1;3;786A0600;3
5;K1;4;786A0600;3
5;K1;5;786A0600;3
5;K1;6;786A0600;3
5;K2;1;831A0600;10
5;K2;2;786A0900;6
5;K2;3;1386A2200;12
6;K1;1;1806_041;2
6;K1;2;3470_028;2
6;K1;3;3470_028;6
6;K1;4;1806_041;2
6;K1;5;1806_041;2
6;K1;6;3445A1800;6
6;K2;1;3470_085;6
6;K2;2;1806_041;2
7;K1;1;829D0100;12
7;K1;2;4778_0102;7
7;K1;3;6898A0100;1
7;K1;4;1567A0100;5
7;K1;5;830D0100;12
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;S4_9704411;6
8;K1;2;4781A0100;8
8;K1;3;4778_0102;1
8;K1;4;1553A0200;12
8;K1;5;4781A0100;8
8;K2;1;831A0600;10
8;K2;2;829D0100;12
8;K2;3;786A0900;6
9;K1;1;3470_028;6
9;K1;2;70069_23;4
9;K1;3;3445A1800;6
9;K1;4;1568_0101;24
9;K1;5;1806_041;2
9;K1;6;3470_085;6
9;K2;1;1806A0200;1
9;K2;2;918_0102;5
10;K1;1;829D0100;12
10;K1;2;1559A0200;12
10;K1;3;829D0100;12
10;K1;4;830D0100;11
10;K1;5;5450A0000;12
