AVAILABLE QUANTITY OF ITEM: 1972
QTD OF MANUFACTURED PIECES: 1972
ELAPSED TIME:   601.70
OBJ. FUNCTION VALUE: 53.0
STARTS: 53
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1386A2200;4
1;K2;2;830D0100;12
2;K1;1;S4_9704411;6
2;K1;2;1567A0100;6
2;K1;3;1567A0100;6
2;K1;4;6896A0100;6
2;K1;5;1567A0100;3
2;K1;6;S4_9704411;1
2;K1;7;829D0100;12
2;K2;1;1806A0200;2
2;K2;2;1806A0200;2
2;K2;3;1806A0200;2
3;K1;1;6754_0481;2
3;K1;2;6724_0271;12
3;K1;3;3958A0600;24
3;K1;4;1568_0101;2
3;K1;5;60091_011;12
3;K1;6;6753_02011;3
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;1567A0100;6
4;K1;2;1386A2200;12
4;K1;3;829D0100;12
4;K1;4;1553A0200;12
4;K1;5;787A0100;3
4;K1;6;S4_9704411;3
4;K2;1;342_0460;12
4;K2;2;342_0460;12
4;K2;3;342_0460;12
4;K2;4;342_0460;8
5;K1;1;5450A0000;12
5;K1;2;1567A0100;6
5;K1;3;5450A0000;12
5;K1;4;1567A0100;6
5;K1;5;830D0100;12
5;K1;6;1556A0200;12
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;787A0100;3
6;K1;2;1567A0100;6
6;K1;3;830D0100;12
6;K1;4;786A0900;6
6;K1;5;829D0100;12
6;K1;6;830D0100;12
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;1567A0100;6
7;K1;2;1567A0100;6
7;K1;3;787A0100;3
7;K1;4;1567A0100;1
7;K1;5;1567A0100;6
7;K1;6;787A0100;3
7;K1;7;6896A0100;12
7;K2;1;3445A1800;6
7;K2;2;342_0460;12
8;K1;1;787A0100;3
8;K1;2;1567A0100;6
8;K1;3;S4_9704411;6
8;K1;4;1555A0200;8
8;K1;5;829D0100;12
8;K1;6;5450A0000;12
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;6753_02011;12
9;K1;2;1568_0101;24
9;K1;3;3957A0600;24
9;K1;4;3470_085;6
9;K1;5;60091_011;12
9;K1;6;60091_011;12
9;K2;1;342_0460;12
9;K2;2;3445A1800;6
9;K2;3;342_0460;12
9;K2;4;342_0460;12
10;K1;1;6754_0481;12
10;K1;2;6753_02011;12
10;K1;3;1312_0101;3
10;K1;4;6753_02011;12
10;K1;5;1320_0101;24
10;K1;6;6754_0481;12
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;1567A0100;6
11;K1;2;1567A0100;6
11;K1;3;S4_9704411;6
11;K1;4;1567A0100;6
11;K1;5;1567A0100;6
11;K1;6;5450A0000;12
11;K1;7;1567A0100;6
11;K2;1;3445A1800;6
11;K2;2;342_0460;12
11;K2;3;3445A1800;6
11;K2;4;342_0460;12
12;K1;1;830D0100;12
12;K1;2;1386A2200;12
12;K1;3;S4_9704411;6
12;K1;4;1555A0200;12
12;K1;5;1567A0100;6
12;K1;6;S4_9704411;6
12;K2;1;786A0900;6
12;K2;2;786A0900;6
12;K2;3;786A0900;6
12;K2;4;786A0900;6
13;K1;1;6753_02011;12
13;K1;2;6724_0941;12
13;K1;3;6724_0271;12
13;K1;4;3470_085;6
13;K1;5;6753_02011;12
13;K1;6;3958A0600;24
13;K2;1;3470_085;6
13;K2;2;60091_011;12
13;K2;3;6753_02011;12
14;K1;1;60091_011;12
14;K1;2;341_0250;12
14;K1;3;6753_02011;12
14;K1;4;6754_0481;12
14;K1;5;1320_0101;24
14;K1;6;3958A0600;24
14;K2;1;60091_011;6
14;K2;2;6754_0481;12
14;K2;3;3445A1800;1
15;K1;1;6753_02011;12
15;K1;2;6724_0941;6
15;K1;3;3957A0600;24
15;K1;4;60091_011;12
15;K1;5;1312_0101;24
15;K1;6;6753_02011;12
15;K2;1;3957A0600;12
15;K2;2;342_0460;12
15;K2;3;342_0460;12
16;K1;1;1567A0100;6
16;K1;2;1567A0100;6
16;K1;3;5450A0000;12
16;K1;4;829D0100;12
16;K1;5;786A0900;6
16;K1;6;5450A0000;3
16;K1;7;787A0100;3
16;K2;1;342_0460;12
16;K2;2;3445A1800;6
16;K2;3;342_0460;12
16;K2;4;3445A1800;3
17;K1;1;1567A0100;6
17;K1;2;1567A0100;6
17;K1;3;787A0100;3
17;K1;4;1567A0100;6
17;K1;5;S4_9704411;6
17;K1;6;1567A0100;6
17;K1;7;1556A0200;1
17;K2;1;342_0460;12
17;K2;2;342_0460;12
17;K2;3;342_0460;12
17;K2;4;3445A1800;6
18;K1;1;918_0102;15
18;K1;2;918_0102;5
18;K2;1;1642A0400;6
18;K2;2;1642A0400;6
18;K2;3;1642A0400;6
19;K1;1;1568_0101;24
19;K1;2;6753_02011;12
19;K1;3;1320_0101;24
19;K1;4;341_0250;12
19;K1;5;3958A0600;24
19;K2;1;1806A0200;2
19;K2;2;1806A0200;2
19;K2;3;1806A0200;2
20;K1;1;787A0100;3
20;K1;2;787A0100;3
20;K1;3;787A0100;3
20;K1;4;787A0100;1
20;K1;5;787A0100;3
20;K1;6;1554A0200;8
20;K2;1;786A0900;6
20;K2;2;786A0900;6
20;K2;3;786A0900;6
20;K2;4;786A0900;6
21;K1;1;1567A0100;6
21;K1;2;1567A0100;6
21;K1;3;1554A0200;7
21;K1;4;829D0100;12
21;K1;5;787A0100;3
21;K1;6;830D0100;12
21;K2;1;6896A0100;12
21;K2;2;810A0400;12
22;K1;1;1567A0100;6
22;K1;2;1567A0100;6
22;K1;3;1567A0100;6
22;K1;4;1567A0100;6
22;K1;5;1964A2200;2
22;K1;6;810A0400;8
22;K2;1;1806A0200;2
22;K2;2;1806A0200;2
22;K2;3;1806A0200;2
23;K1;1;1320_0101;22
23;K1;2;3958A0600;23
23;K1;3;3958A0600;1
23;K1;4;6753_02011;12
23;K1;5;1320_0101;24
23;K2;1;1806A0200;2
23;K2;2;1806A0200;2
23;K2;3;1806A0200;2
24;K1;1;918_0102;15
24;K1;2;918_0102;15
24;K2;1;1642A0400;6
25;K1;1;1567A0100;1
25;K1;2;1567A0100;6
25;K1;3;787A0100;3
25;K1;4;1567A0100;6
25;K1;5;1567A0100;6
25;K1;6;1567A0100;3
25;K1;7;1553A0200;3
25;K2;1;1806A0200;2
25;K2;2;1806A0200;2
25;K2;3;1806A0200;2
26;K1;1;6724_0271;1
26;K1;2;6724_0271;12
26;K1;3;6724_0271;12
26;K1;4;3470_085;6
26;K1;5;341_0250;1
26;K1;6;60091_011;12
26;K1;7;341_0250;8
26;K2;1;1642A0400;6
27;K1;1;1312_0101;24
27;K1;2;1320_0101;24
27;K1;3;6724_0941;12
27;K1;4;3470_085;6
27;K1;5;6724_0271;11
27;K1;6;341_0250;12
28;K1;1;5450A0000;12
28;K1;2;1567A0100;6
28;K1;3;1964A2200;8
28;K1;4;1556A0200;7
28;K1;5;1386A2200;12
END
