schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0089,MAQ119,Ironing,Ironing TM2,2026-01-06T13:55:00+00:00,2026-01-06T14:00:00+00:00,
TEXTILE-SCHEDULE-0090,MAQ119,Ironing,Ironing TM2,2026-01-06T15:15:00+00:00,2026-01-06T15:20:00+00:00,
TEXTILE-SCHEDULE-0091,MAQ119,Harden[1],Harden[1] TM1,2026-01-06T16:00:00+00:00,2026-01-06T17:20:00+00:00,
TEXTILE-SCHEDULE-0092,MAQ119,Ironing,Ironing TM2,2026-01-06T17:25:00+00:00,2026-01-06T17:30:00+00:00,
TEXTILE-SCHEDULE-0093,MAQ119,Harden[1],Harden[1] TM1,2026-01-06T18:45:00+00:00,2026-01-06T20:05:00+00:00,
TEXTILE-SCHEDULE-0094,MAQ119,Harden[1],Harden[1] TM1,2026-01-06T20:05:00+00:00,2026-01-06T21:25:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0095,MAQ119,Ironing,Ironing TM2,2026-01-06T21:25:00+00:00,2026-01-06T21:30:00+00:00,
TEXTILE-SCHEDULE-0096,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-06T22:25:00+00:00,2026-01-06T23:25:00+00:00,
TEXTILE-SCHEDULE-0097,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-06T23:30:00+00:00,2026-01-07T00:30:00+00:00,
TEXTILE-SCHEDULE-0098,MAQ119,Harden[0.5],Harden[0.5] TM1,2026-01-07T00:30:00+00:00,2026-01-07T01:30:00+00:00,
TEXTILE-SCHEDULE-0099,MAQ119,Ironing,Ironing TM2,2026-01-07T01:35:00+00:00,2026-01-07T01:40:00+00:00,ESTORE RIBBON
TEXTILE-SCHEDULE-0100,MAQ119,Harden[1],Harden[1] TM1,2026-01-07T02:20:00+00:00,2026-01-07T03:40:00+00:00,
