schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0214,MAQ120,Sublimation,Sublimation TM1,2026-01-07T10:55:00+00:00,2026-01-07T11:00:00+00:00,
TEXTILE-SCHEDULE-0215,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T11:15:00+00:00,2026-01-07T11:20:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0216,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T11:55:00+00:00,2026-01-07T12:00:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0217,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T12:30:00+00:00,2026-01-07T12:35:00+00:00,
TEXTILE-SCHEDULE-0218,MAQ120,Sublimation,Sublimation TM1,2026-01-07T13:15:00+00:00,2026-01-07T13:20:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0219,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T13:45:00+00:00,2026-01-07T13:50:00+00:00,
TEXTILE-SCHEDULE-0220,MAQ120,Sublimation,Sublimation TM1,2026-01-07T14:20:00+00:00,2026-01-07T14:25:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0221,MAQ120,Sublimation,Sublimation TM1,2026-01-07T14:45:00+00:00,2026-01-07T14:50:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0222,MAQ120,Ironing,Ironing TM1,2026-01-07T15:10:00+00:00,2026-01-07T15:55:00+00:00,
TEXTILE-SCHEDULE-0223,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T15:55:00+00:00,2026-01-07T16:00:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0224,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T16:35:00+00:00,2026-01-07T16:40:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0225,MAQ120,Sublimation,Sublimation TM1,2026-01-07T17:15:00+00:00,2026-01-07T17:20:00+00:00,
TEXTILE-SCHEDULE-0226,MAQ120,Sublimation,Sublimation TM1,2026-01-07T17:35:00+00:00,2026-01-07T17:40:00+00:00,
TEXTILE-SCHEDULE-0227,MAQ120,Sublimation,Sublimation TM1,2026-01-07T18:00:00+00:00,2026-01-07T18:05:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0228,MAQ120,Ironing,Ironing TM1,2026-01-07T18:20:00+00:00,2026-01-07T19:05:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0229,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T19:15:00+00:00,2026-01-07T19:20:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0230,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T19:50:00+00:00,2026-01-07T19:55:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0231,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T20:50:00+00:00,2026-01-07T20:55:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0232,MAQ120,Sublimation,Sublimation TM1,2026-01-07T21:35:00+00:00,2026-01-07T21:40:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0233,MAQ120,Ironing,Ironing TM1,2026-01-07T22:10:00+00:00,2026-01-07T22:55:00+00:00,SMOOTH STRAP(A)
TEXTILE-SCHEDULE-0234,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T23:10:00+00:00,2026-01-07T23:15:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0235,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T23:45:00+00:00,2026-01-07T23:50:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0236,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T00:20:00+00:00,2026-01-08T00:25:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0237,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T01:10:00+00:00,2026-01-08T01:15:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0238,MAQ120,Sublimation,Sublimation TM1,2026-01-08T01:55:00+00:00,2026-01-08T02:00:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0239,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T02:25:00+00:00,2026-01-08T02:30:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0240,MAQ120,Ironing,Ironing TM1,2026-01-08T03:20:00+00:00,2026-01-08T04:05:00+00:00,GORGORÃO RIBBON W/ INSCR
TEXTILE-SCHEDULE-0241,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T04:30:00+00:00,2026-01-08T04:35:00+00:00,ELASTIC W/ INSCR
TEXTILE-SCHEDULE-0242,MAQ120,Sublimation,Sublimation TM1,2026-01-08T05:10:00+00:00,2026-01-08T05:15:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0243,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T05:30:00+00:00,2026-01-08T05:35:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0244,MAQ120,Sublimation,Sublimation TM1,2026-01-08T06:10:00+00:00,2026-01-08T06:15:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0245,MAQ120,Ironing,Ironing TM1,2026-01-08T06:30:00+00:00,2026-01-08T07:15:00+00:00,ESTORE RIBBON
TEXTILE-SCHEDULE-0246,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T07:15:00+00:00,2026-01-08T07:20:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0247,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T07:55:00+00:00,2026-01-08T08:00:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0248,MAQ120,Ironing,Ironing TM1,2026-01-08T08:45:00+00:00,2026-01-08T09:30:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0249,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T09:35:00+00:00,2026-01-08T09:40:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0250,MAQ120,Sublimation,Sublimation TM1,2026-01-08T10:40:00+00:00,2026-01-08T10:45:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0251,MAQ120,Ironing,Ironing TM1,2026-01-08T11:25:00+00:00,2026-01-08T12:10:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0252,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T12:20:00+00:00,2026-01-08T12:25:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0253,MAQ120,Sublimation,Sublimation TM1,2026-01-08T13:00:00+00:00,2026-01-08T13:05:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0254,MAQ120,Sublimation,Sublimation TM1,2026-01-08T13:35:00+00:00,2026-01-08T13:40:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0255,MAQ120,Ironing,Ironing TM1,2026-01-08T14:15:00+00:00,2026-01-08T15:00:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0256,MAQ120,Sublimation,Sublimation TM1,2026-01-08T15:30:00+00:00,2026-01-08T15:35:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0257,MAQ120,Ironing,Ironing TM1,2026-01-08T16:00:00+00:00,2026-01-08T16:45:00+00:00,WOVEN LABEL OURELA FABRIC
TEXTILE-SCHEDULE-0258,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T17:00:00+00:00,2026-01-08T17:05:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0259,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T17:50:00+00:00,2026-01-08T17:55:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0260,MAQ120,Sublimation,Sublimation TM1,2026-01-08T18:55:00+00:00,2026-01-08T19:00:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0261,MAQ120,Sublimation,Sublimation TM1,2026-01-08T19:15:00+00:00,2026-01-08T19:20:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0262,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T19:35:00+00:00,2026-01-08T19:40:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0263,MAQ120,Sublimation,Sublimation TM1,2026-01-08T20:20:00+00:00,2026-01-08T20:25:00+00:00,
TEXTILE-SCHEDULE-0264,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T21:10:00+00:00,2026-01-08T21:15:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0265,MAQ120,Sublimation,Sublimation TM1,2026-01-08T21:50:00+00:00,2026-01-08T21:55:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0266,MAQ120,Sublimation,Sublimation TM1,2026-01-08T22:10:00+00:00,2026-01-08T22:15:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0267,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T22:50:00+00:00,2026-01-08T22:55:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0268,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-08T23:25:00+00:00,2026-01-08T23:30:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0269,MAQ120,Sublimation,Sublimation TM1,2026-01-09T00:05:00+00:00,2026-01-09T00:10:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0270,MAQ120,Sublimation,Sublimation TM1,2026-01-09T00:30:00+00:00,2026-01-09T00:35:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0271,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-09T00:50:00+00:00,2026-01-09T00:55:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0272,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-09T01:25:00+00:00,2026-01-09T01:30:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0273,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-09T02:00:00+00:00,2026-01-09T02:05:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0274,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-09T02:35:00+00:00,2026-01-09T02:40:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0275,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-09T03:10:00+00:00,2026-01-09T03:15:00+00:00,PRINTED RIBBON
